Name,"CN GDP AT MARKET PRICES (CHAINED, SA, AR) CONA",CN GDP - VOLUME INDEX VOLA,FR GDP CONA,FR GDP - VOLUME INDEX VOLA,BD GDP (PAN BD FROM 1991) CONA,IT GDP CONA,IT GDP VOLUME INDEX (1995=100) VOLA,JP GDP - VOLUME INDEX VOLA,UK GDP AT MARKET PRICES CONA
Code,CNGDP...D,CNONA017G,FRGDP...D,FRONA017G,BDGDP...D,ITGDP...D,ITI99BVRG,JPONA017G,UKGDP...D
Currency,C$,  ,E ,  ,E ,E ,  ,  ,£ 
Q1 50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q2 50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q3 50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q4 50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q1 51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q2 51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q3 51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q4 51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q1 52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q2 52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q3 52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q4 52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q1 53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q2 53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q3 53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q4 53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q1 54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q2 54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q3 54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q4 54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q1 55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68771
Q2 55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68700
Q3 55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69754
Q4 55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69368
Q1 56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69842
Q2 56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69797
Q3 56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69704
Q4 56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69962
Q1 57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71214
Q2 57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71311
Q3 57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70850
Q4 57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70843
Q1 58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71874
